Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR8146935_1	(1, 2.028467058223499)	(2, 0.004852875614632049)	(3, 0.014084323157280875)	(4, 0.12943997241250052)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0006785039053791106)	(30, 0.0005731585602466658)	(35, 0.0020170388357112633)	(40, 0.0024494040910889745)	(45, 0.0020265249094435687)	(50, 0.0003250228420910971)	(55, 0.0011078735585255675)	(60, 0.0015522212228282963)	(65, 0.0013055833057883548)	(70, 0.0017389470952431508)	(75, 0.00010334827697827511)	(80, 0.00038892902302452325)	(85, 0.001957126791086176)	(90, 0.0004902802318486289)	(95, 0.00010983874847932621)	(100, 0.004133931079131004)	(105, 9.88548736313936e-05)	(110, 0.0003744502789067939)	(115, 0.0047655038828871305)	(120, 0.000722439404770841)	(125, 0.004031082069191273)	(130, 0.00033500818286194496)	(135, 0.00011333361774912297)	(140, 0.003098451241194084)	(145, 0.004768000218079843)	(150, 0.0)
SRR8146935_2	(1, 1.619387617523404)	(2, 0.07255847871136581)	(3, 0.01103380155178686)	(4, 0.17759927095029965)	(5, 0.0025662325781078943)	(6, 0.0007838492505115553)	(7, 0.0003944209604484896)	(8, 0.0008412649599439303)	(9, 1.2481675963559796e-05)	(10, 0.001921179564311124)	(15, 0.0009750685262732914)	(20, 0.005729089267273947)	(25, 0.005187384530455452)	(30, 0.002852811858231227)	(35, 0.0035782468652333227)	(40, 0.0019121927576173608)	(45, 0.0014164205883447658)	(50, 0.003213781927097376)	(55, 0.0017564214415921344)	(60, 0.002237714866747)	(65, 0.0018702543263798)	(70, 0.0029257048458584166)	(75, 0.004244269094648874)	(80, 0.000545199606088292)	(85, 0.0012032335628871643)	(90, 0.006816992144257818)	(95, 0.0019201810302340392)	(100, 0.002423941472123313)	(105, 0.0018477873096453923)	(110, 0.0015716926373314497)	(115, 0.0015257600697855497)	(120, 0.004443476643027288)	(125, 0.0014069345146124604)	(130, 0.0018977140134996313)	(135, 0.001708491805892065)	(140, 0.002326085132569004)	(145, 0.002189785231046931)	(150, 0.0)
SRR8146936_1	(1, 1.624583976313177)	(2, 0.009874445426231436)	(3, 0.0036967471301045346)	(4, 0.0006104958366651901)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.610669866946459e-05)	(15, 0.0)	(20, 0.0001189817417841094)	(25, 0.00032681011171268475)	(30, 8.157263519696582e-05)	(35, 0.0006858336207642986)	(40, 9.508147924232323e-05)	(45, 0.0)	(50, 5.195709248214384e-07)	(55, 0.0004889162402569735)	(60, 0.0003766889204955428)	(65, 0.00039123690639054307)	(70, 5.195709248214384e-07)	(75, 0.00020575008622928962)	(80, 1.0910989421250206e-05)	(85, 0.0012677530565643096)	(90, 0.00031330126766732736)	(95, 5.195709248214384e-07)	(100, 6.754422022678699e-05)	(105, 1.558712774464315e-06)	(110, 5.507451803107247e-05)	(115, 0.0007538974119159071)	(120, 0.0010095263069280548)	(125, 6.234851097857261e-05)	(130, 0.0)	(135, 0.00015742999022089584)	(140, 0.00011794259993446652)	(145, 0.0)	(150, 0.0)
SRR8146936_2	(1, 1.350647999764946)	(2, 7.793563872321577e-06)	(3, 0.0001272948765812524)	(4, 0.0002545897531625048)	(5, 0.0)	(6, 0.0015587127744643152)	(7, 0.0004624181230910802)	(8, 0.001852270346988428)	(9, 0.0)	(10, 0.0007175274471784064)	(15, 0.0005502256093859033)	(20, 0.00012521659288196665)	(25, 0.0001272948765812524)	(30, 7.741606779839432e-05)	(35, 5.611365988071535e-05)	(40, 3.2732968263750616e-05)	(45, 0.0007019403194337633)	(50, 0.0004509875627450086)	(55, 7.481821317428713e-05)	(60, 0.00022185678489875418)	(65, 0.0002041913734548253)	(70, 0.0009897826117848403)	(75, 0.0001569104192960744)	(80, 2.2861120692143288e-05)	(85, 0.00015483213559678864)	(90, 0.00010027718849053762)	(95, 5.195709248214384e-07)	(100, 0.00028524443772696967)	(105, 0.0002525114694632191)	(110, 0.0005450299001376889)	(115, 0.0002592658914858978)	(120, 0.00031953611876518463)	(125, 8.313134797143015e-06)	(130, 0.00030914470026875587)	(135, 0.00019016295848464646)	(140, 6.7544220226787e-06)	(145, 4.987880878285808e-05)	(150, 0.0)
SRR8146938_1	(1, 2.0404679788966815)	(2, 0.005106495135959504)	(3, 0.014641535304175108)	(4, 0.12965248999372983)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0006967577517416265)	(30, 0.0005887231223127616)	(35, 0.0020334129239465296)	(40, 0.002479547830899737)	(45, 0.0021156417107182973)	(50, 0.000335038567378585)	(55, 0.001126709333638688)	(60, 0.0015767807250650114)	(65, 0.0013471524641332137)	(70, 0.0017565468493373332)	(75, 0.00010628508077414641)	(80, 0.00041639257982299335)	(85, 0.00198748727176017)	(90, 0.000492935333466926)	(95, 0.00011678237270245716)	(100, 0.004106628079787904)	(105, 9.010175571800067e-05)	(110, 0.0003866502526927795)	(115, 0.004767957471271482)	(120, 0.0007536180830199765)	(125, 0.003993344804394883)	(130, 0.00037046692763663375)	(135, 0.00012509272881236984)	(140, 0.0030555867254657893)	(145, 0.004799886734220093)	(150, 0.0)
SRR8146938_2	(1, 1.6276357305860405)	(2, 0.0733651358998002)	(3, 0.011557955800233822)	(4, 0.17796190222214328)	(5, 0.002696491864084826)	(6, 0.0008004185095336952)	(7, 0.00043301329204281874)	(8, 0.0008616527124488412)	(9, 1.968242236558267e-05)	(10, 0.0019459354912106067)	(15, 0.00102217380151926)	(20, 0.0057459551692591)	(25, 0.005232462639099233)	(30, 0.002870134568065633)	(35, 0.0036202535537761724)	(40, 0.0019433111682285288)	(45, 0.0015076735532036324)	(50, 0.0032887140837070243)	(55, 0.0018011603400326542)	(60, 0.0023129033215378036)	(65, 0.002007607081289432)	(70, 0.0029681092927298664)	(75, 0.00421335054772573)	(80, 0.0005629172796556643)	(85, 0.0012229345096482032)	(90, 0.006912466734792634)	(95, 0.0019384999094280533)	(100, 0.002451992439587921)	(105, 0.0018676431889119555)	(110, 0.0016139586339777789)	(115, 0.0015159839093135453)	(120, 0.004411924320036275)	(125, 0.0014350672840328165)	(130, 0.0019249409073539851)	(135, 0.0016974995822405853)	(140, 0.002292783512008541)	(145, 0.0022092425637457347)	(150, 0.0)
SRR8146944_1	(1, 1.5432026527638298)	(2, 0.021521839247668227)	(3, 0.0017427756727240121)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.5205433283198528e-05)	(10, 2.160465709988445e-06)	(15, 6.481397129965335e-06)	(20, 0.00030462566510837077)	(25, 0.0020488416483057086)	(30, 0.00030894659652834765)	(35, 0.001273234458419857)	(40, 0.0024938975845633284)	(45, 0.0027351495888453714)	(50, 0.0028763000152312833)	(55, 0.002402437869507151)	(60, 0.00035359622120144217)	(65, 0.001066549905497629)	(70, 0.003895319675109167)	(75, 5.545195322303676e-05)	(80, 4.32093141997689e-06)	(85, 0.0006157327273467069)	(90, 0.0028633372209713524)	(95, 0.0016419539395912182)	(100, 0.00015843415206581932)	(105, 0.0005998893121401249)	(110, 0.004247475585837284)	(115, 0.00025061402235865965)	(120, 0.0006546211101264988)	(125, 2.160465709988445e-06)	(130, 0.00037232025735467537)	(135, 4.032869325311764e-05)	(140, 0.000470981524777481)	(145, 0.002289373497351089)	(150, 0.0)
SRR8146944_2	(1, 1.1716205545267337)	(2, 0.03117191941894995)	(3, 1.8003880916570375e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0027041829136688704)	(7, 0.0005293140989471691)	(8, 0.0013790972782092908)	(9, 0.0)	(10, 0.0053313092170148195)	(15, 0.00141726550575242)	(20, 0.001132804187270608)	(25, 0.0014381500076156416)	(30, 0.0018090299544969914)	(35, 0.0010247809017711858)	(40, 0.001315723617382963)	(45, 0.0029641589541041465)	(50, 0.0035662087319542598)	(55, 0.00047386214572413233)	(60, 0.0008843506306219368)	(65, 0.0019984307817393116)	(70, 0.0014813593218154105)	(75, 0.002562312332046296)	(80, 0.001117680927300689)	(85, 0.0025407076749464114)	(90, 0.0003111070622383361)	(95, 5.041086656639705e-06)	(100, 0.002020035438839196)	(105, 0.0)	(110, 5.041086656639705e-06)	(115, 0.001701006668997569)	(120, 0.0)	(125, 5.977288464301365e-05)	(130, 0.0014467918704555954)	(135, 0.0012004987795169128)	(140, 4.6089935146420165e-05)	(145, 0.002216637818448145)	(150, 0.0)
SRR8146951_1	(1, 1.995562538812892)	(2, 0.05909235062069784)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 3.887098710928215e-05)	(30, 0.00011872551497509004)	(35, 4.2251072944871897e-07)	(40, 0.0002953349998846545)	(45, 0.0006853124031658222)	(50, 0.00010224759652658999)	(55, 0.00010309261798548743)	(60, 0.0007423513516413993)	(65, 0.00010393763944438487)	(70, 0.00034181118012401366)	(75, 2.6618175955269298e-05)	(80, 8.23895922425002e-05)	(85, 0.00014407615874201317)	(90, 0.0002623791629876545)	(95, 0.000384907274527783)	(100, 0.0)	(105, 6.971427035903864e-05)	(110, 0.00020280515013538513)	(115, 0.0005251808367047577)	(120, 0.0)	(125, 0.00019181987116971842)	(130, 4.056103002707702e-05)	(135, 0.00019477744627585943)	(140, 9.633244631430794e-05)	(145, 0.0001778770170979107)	(150, 0.0)
SRR8146951_2	(1, 2.0931730800837824)	(2, 0.06431880834397849)	(3, 0.0002535064376692314)	(4, 0.0018865104069885302)	(5, 0.0011999304716343619)	(6, 0.0005471513946360911)	(7, 0.002199168346780582)	(8, 0.0)	(9, 0.0005260258581636551)	(10, 0.0005944725963343476)	(15, 0.0015628671882308115)	(20, 0.0006303860083374887)	(25, 0.0007993903001169764)	(30, 0.0015641347204191577)	(35, 0.0008716396348527072)	(40, 0.0010693746562347077)	(45, 0.0012442940982264775)	(50, 0.0013347113943285034)	(55, 0.0006979877250492838)	(60, 0.0020842454283705306)	(65, 0.001344429141105824)	(70, 0.00125992699521608)	(75, 5.661643774612835e-05)	(80, 0.00013435841196469264)	(85, 1.5210386260153884e-05)	(90, 9.083980683147459e-05)	(95, 0.0)	(100, 5.2391330451641155e-05)	(105, 1.5210386260153884e-05)	(110, 6.7601716711795036e-06)	(115, 4.2251072944871897e-07)	(120, 6.337660941730785e-06)	(125, 8.450214588974379e-07)	(130, 0.00024294366943301344)	(135, 1.0562768236217974e-05)	(140, 1.267532188346157e-05)	(145, 0.00010140264276074577)	(150, 0.0)
